trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-01-07-CLOSE,XAUUSD,SHORT,4497.330078,4453.040039,4542.30337878,2026-01-07,2026-01-07,6666.666666666667,500,0.9848,32826.91,CLOSE,CONTRACTION,False
EURUSD-2026-01-07-CLOSE,EURUSD,SHORT,1.1688,1.1674,1.180488,2026-01-07,2026-01-07,6666.666666666667,500,0.1198,3992.7,CLOSE,CONTRACTION,False
AUDUSD-2026-01-07-CLOSE,AUDUSD,SHORT,0.6737,0.6721,0.680437,2026-01-07,2026-01-07,6666.666666666667,500,0.2375,7916.48,CLOSE,CONTRACTION,False
XAUUSD-2026-01-13-CLOSE,XAUUSD,SHORT,4593.890137,4588.0,4639.8290383700005,2026-01-13,2026-01-13,9649.072881182301,500,0.1282,6185.86,CLOSE,CONTRACTION,False
EURUSD-2026-01-13-CLOSE,EURUSD,SHORT,1.1669,1.1643,1.178569,2026-01-13,2026-01-13,9649.072881182301,500,0.2228,10749.67,CLOSE,CONTRACTION,False
AUDUSD-2026-01-13-CLOSE,AUDUSD,SHORT,0.671,0.6682,0.67771,2026-01-13,2026-01-13,9649.072881182301,500,0.4173,20132.19,CLOSE,CONTRACTION,False
XAUUSD-2026-01-16-CLOSE,XAUUSD,SHORT,4614.899902,4595.100098,4661.04890102,2026-01-16,2026-01-16,12120.255023618594,500,0.429,26000.42,CLOSE,CONTRACTION,False
EURUSD-2026-01-16-CLOSE,EURUSD,SHORT,1.1608,1.1599,1.1724080000000001,2026-01-16,2026-01-16,12120.255023618594,500,0.0775,4698.58,CLOSE,CONTRACTION,False
AUDUSD-2026-01-16-CLOSE,AUDUSD,SHORT,0.6699,0.6683,0.6765990000000001,2026-01-16,2026-01-16,12120.255023618594,500,0.2388,14474.11,CLOSE,CONTRACTION,False
XAUUSD-2026-01-30-STOP_LOSS,XAUUSD,SHORT,5395.580078,5449.53587878,5449.53587878,2026-01-30,2026-01-30,15131.795660111733,500,-1.0,-75658.98,STOP_LOSS,CONTRACTION,True
EURUSD-2026-01-30-CLOSE,EURUSD,SHORT,1.1971,1.185,1.209071,2026-01-30,2026-01-30,15131.795660111733,500,1.0108,76474.28,CLOSE,CONTRACTION,False
AUDUSD-2026-01-30-CLOSE,AUDUSD,SHORT,0.7049,0.6962,0.7119489999999999,2026-01-30,2026-01-30,15131.795660111733,500,1.2342,93379.64,CLOSE,CONTRACTION,False
